,hora,X,0,1,2,3,4,5,6,7
271,1.4,1,NA,NA,NA,1,NA,NA,NA,NA
272,1.5,0,NA,NA,NA,0,0,NA,NA,NA
273,2,0,NA,NA,NA,0,0,NA,NA,NA
274,2.1,0,NA,NA,NA,0,0,NA,0,NA
275,2.2,6,NA,NA,NA,6,NA,NA,NA,NA
276,2.3,75,NA,NA,NA,75,NA,NA,NA,NA
277,2.4,271,NA,NA,NA,271,NA,NA,NA,NA
278,2.5,201,NA,NA,NA,201,NA,NA,NA,NA
279,3,151,NA,NA,NA,151,NA,NA,NA,NA
280,3.1,153,NA,NA,NA,153,NA,NA,NA,NA
281,3.2,179,NA,NA,NA,179,NA,NA,NA,NA
282,3.4,33,NA,NA,NA,33,NA,NA,NA,NA
283,5,0,NA,NA,NA,0,NA,0,0,NA
284,5.1,0,NA,NA,NA,0,0,0,0,0
285,5.2,0,NA,NA,NA,0,0,0,0,0
286,5.3,0,NA,NA,NA,0,NA,0,0,0
287,7.1,2,NA,NA,NA,2,NA,NA,NA,NA
288,12.5,67,NA,NA,NA,67,NA,NA,NA,NA
289,13,8,NA,NA,NA,8,NA,NA,NA,NA
290,15.3,189,NA,NA,NA,189,NA,NA,NA,NA
291,15.4,217,NA,NA,NA,217,NA,NA,NA,NA
292,15.5,349,NA,NA,NA,349,NA,NA,NA,NA
293,16,360,NA,NA,NA,360,NA,NA,NA,NA
294,16.1,53,NA,NA,NA,53,NA,NA,NA,NA
295,16.2,382,NA,NA,NA,382,NA,NA,NA,NA
296,16.3,149,NA,NA,NA,149,NA,NA,NA,NA
297,16.4,339,NA,NA,NA,339,NA,NA,NA,NA
298,16.5,111,NA,NA,NA,111,NA,NA,NA,NA
299,17,1,NA,NA,NA,1,NA,NA,NA,NA
300,17.1,377,NA,NA,NA,377,NA,NA,NA,NA
301,17.2,7,NA,NA,NA,7,NA,NA,NA,NA
302,17.3,9,NA,NA,NA,9,NA,NA,NA,NA
303,17.4,11,NA,NA,NA,11,NA,NA,NA,NA
304,17.5,106,NA,NA,NA,106,NA,NA,NA,NA
305,18,433,NA,NA,NA,433,NA,NA,NA,NA
306,18.1,169,NA,NA,NA,169,NA,NA,NA,NA
307,18.2,435,NA,NA,NA,435,NA,NA,NA,NA
308,18.3,288,NA,NA,NA,288,NA,NA,NA,NA
309,18.4,326,NA,NA,NA,326,NA,NA,NA,NA
310,18.5,473,NA,NA,NA,473,NA,NA,NA,NA
311,19,320,NA,NA,NA,320,NA,NA,NA,NA
312,19.1,398,NA,NA,NA,398,NA,NA,NA,NA
313,19.2,16,NA,NA,NA,16,NA,NA,NA,NA
314,19.3,359,NA,NA,NA,359,NA,NA,NA,NA
315,19.4,240,NA,NA,NA,240,NA,NA,NA,NA
316,19.5,335,NA,NA,NA,335,NA,NA,NA,NA
317,20,514,NA,NA,NA,514,NA,NA,NA,NA
318,20.1,10,NA,NA,NA,10,NA,NA,NA,NA
319,20.2,52,NA,NA,NA,52,NA,NA,NA,NA
320,21.1,0,NA,NA,NA,0,NA,0,NA,NA
321,21.4,0,NA,NA,NA,0,0,0,NA,NA
322,21.5,25,NA,NA,NA,25,NA,NA,NA,NA
323,22,349,NA,NA,NA,349,NA,NA,NA,NA
324,22.1,22,NA,NA,NA,22,NA,NA,NA,NA
325,22.2,228,NA,NA,NA,228,NA,NA,NA,NA
326,22.3,320,NA,NA,NA,320,NA,NA,NA,NA
327,22.4,78,NA,NA,NA,78,NA,NA,NA,NA
328,22.5,113,NA,NA,NA,113,NA,NA,NA,NA
329,23,291,NA,NA,NA,291,NA,NA,NA,NA
330,23.1,311,NA,NA,NA,311,NA,NA,NA,NA
331,23.2,408,NA,NA,NA,408,NA,NA,NA,NA
332,23.3,134,NA,NA,NA,134,NA,NA,NA,NA
333,23.4,1,NA,NA,NA,1,NA,NA,NA,NA
334,0,328,NA,NA,NA,NA,328,NA,NA,NA
335,0.1,228,NA,NA,NA,NA,228,NA,NA,NA
336,0.2,483,NA,NA,NA,NA,483,NA,NA,NA
337,0.3,288,NA,NA,NA,NA,288,NA,NA,NA
338,0.4,139,NA,NA,NA,NA,139,NA,NA,NA
339,1,6,NA,NA,NA,NA,6,NA,NA,6
340,1.1,0,NA,NA,NA,NA,0,0,NA,NA
341,2.2,0,NA,NA,NA,NA,0,0,NA,NA
342,4.3,1,NA,NA,NA,NA,1,NA,NA,NA
343,4.4,2,NA,NA,NA,NA,2,NA,NA,NA
344,4.5,32,NA,NA,NA,NA,32,NA,NA,NA
345,5,18,NA,NA,NA,NA,18,NA,NA,NA
346,5.3,11,NA,NA,NA,NA,11,NA,NA,NA
347,5.4,198,NA,NA,NA,NA,198,NA,NA,NA
348,6,1,NA,NA,NA,NA,1,NA,NA,NA
349,7.5,1,NA,NA,NA,NA,1,NA,NA,NA
350,8,3,NA,NA,NA,NA,3,NA,NA,NA
351,8.1,1,NA,NA,NA,NA,1,NA,NA,NA
352,12.1,1,NA,NA,NA,NA,1,NA,NA,NA
353,12.2,2,NA,NA,NA,NA,2,NA,NA,NA
354,15.1,2,NA,NA,NA,NA,2,NA,NA,NA
355,15.2,33,NA,NA,NA,NA,33,NA,NA,NA
356,15.3,226,NA,NA,NA,NA,226,NA,NA,NA
357,15.4,32,NA,NA,NA,NA,32,NA,NA,NA
358,16.1,357,NA,NA,NA,NA,357,NA,NA,NA
359,16.2,348,NA,NA,NA,NA,348,NA,NA,NA
360,16.3,131,NA,NA,NA,NA,131,NA,NA,NA
361,16.4,401,NA,NA,NA,NA,401,NA,NA,NA
362,16.5,262,NA,NA,NA,NA,262,NA,NA,NA
363,17,261,NA,NA,NA,NA,261,NA,NA,NA
364,17.1,399,NA,NA,NA,NA,399,NA,NA,NA
365,17.2,430,NA,NA,NA,NA,430,NA,NA,NA
366,17.3,31,NA,NA,NA,NA,31,NA,NA,NA
367,17.4,35,NA,NA,NA,NA,35,NA,NA,NA
368,17.5,156,NA,NA,NA,NA,156,NA,NA,NA
369,18,174,NA,NA,NA,NA,174,NA,NA,NA
370,18.1,34,NA,NA,NA,NA,34,NA,NA,NA
371,18.2,424,NA,NA,NA,NA,424,NA,NA,NA
372,18.4,132,NA,NA,NA,NA,132,NA,NA,NA
373,18.5,304,NA,NA,NA,NA,304,NA,NA,NA
374,19,235,NA,NA,NA,NA,235,NA,NA,NA
375,19.1,235,NA,NA,NA,NA,235,NA,NA,NA
376,19.2,255,NA,NA,NA,NA,255,NA,NA,NA
377,19.4,89,NA,NA,NA,NA,89,NA,NA,NA
378,19.5,217,NA,NA,NA,NA,217,NA,NA,NA
379,20,320,NA,NA,NA,NA,320,NA,NA,NA
380,20.1,121,NA,NA,NA,NA,121,NA,NA,NA
381,20.2,1,NA,NA,NA,NA,1,1,NA,NA
382,20.4,117,NA,NA,NA,NA,117,NA,NA,NA
383,20.5,143,NA,NA,NA,NA,143,NA,NA,NA
384,21,139,NA,NA,NA,NA,139,NA,NA,NA
385,21.1,86,NA,NA,NA,NA,86,NA,NA,NA
386,21.2,12,NA,NA,NA,NA,12,NA,NA,NA
387,21.3,8,NA,NA,NA,NA,8,NA,NA,NA
388,21.5,1,NA,NA,NA,NA,1,NA,NA,NA
389,23.1,0,NA,NA,NA,NA,0,NA,0,NA
390,23.3,0,NA,NA,NA,NA,0,NA,NA,NA
391,0,0,NA,NA,NA,NA,NA,0,NA,0
392,0.1,0,NA,NA,NA,NA,NA,0,0,NA
393,0.2,125,NA,NA,NA,NA,NA,125,NA,NA
394,0.3,0,NA,NA,NA,NA,NA,0,NA,NA
395,0.4,6,NA,NA,NA,NA,NA,6,NA,NA
396,0.5,159,NA,NA,NA,NA,NA,159,NA,NA
397,1,1,NA,NA,NA,NA,NA,1,NA,NA
398,1.2,187,NA,NA,NA,NA,NA,187,NA,NA
399,1.3,131,NA,NA,NA,NA,NA,131,NA,NA
400,1.4,286,NA,NA,NA,NA,NA,286,NA,NA
401,1.5,106,NA,NA,NA,NA,NA,106,NA,NA
402,2,311,NA,NA,NA,NA,NA,311,NA,NA
403,2.1,125,NA,NA,NA,NA,NA,125,NA,NA
404,2.3,164,NA,NA,NA,NA,NA,164,NA,NA
405,2.4,45,NA,NA,NA,NA,NA,45,NA,NA
406,2.5,41,NA,NA,NA,NA,NA,41,NA,NA
407,3,5,NA,NA,NA,NA,NA,5,NA,NA
408,6.3,1,NA,NA,NA,NA,NA,1,NA,NA
409,6.4,2,NA,NA,NA,NA,NA,2,NA,NA
410,6.5,3,NA,NA,NA,NA,NA,3,NA,NA
411,15.5,76,NA,NA,NA,NA,NA,76,NA,NA
412,16,38,NA,NA,NA,NA,NA,38,NA,NA
413,16.1,237,NA,NA,NA,NA,NA,237,NA,NA
414,16.2,85,NA,NA,NA,NA,NA,85,NA,NA
415,16.3,29,NA,NA,NA,NA,NA,29,NA,NA
416,16.4,190,NA,NA,NA,NA,NA,190,NA,NA
417,16.5,210,NA,NA,NA,NA,NA,210,NA,NA
418,17,188,NA,NA,NA,NA,NA,188,NA,NA
419,17.1,82,NA,NA,NA,NA,NA,82,NA,NA
420,17.2,351,NA,NA,NA,NA,NA,351,NA,NA
421,17.3,207,NA,NA,NA,NA,NA,207,NA,NA
422,17.4,105,NA,NA,NA,NA,NA,105,NA,NA
423,17.5,69,NA,NA,NA,NA,NA,69,NA,NA
424,18,268,NA,NA,NA,NA,NA,268,NA,NA
425,18.1,231,NA,NA,NA,NA,NA,231,NA,NA
426,18.2,120,NA,NA,NA,NA,NA,120,NA,NA
427,18.3,7,NA,NA,NA,NA,NA,7,NA,NA
428,18.5,322,NA,NA,NA,NA,NA,322,NA,NA
429,19,75,NA,NA,NA,NA,NA,75,NA,NA
430,19.1,164,NA,NA,NA,NA,NA,164,NA,NA
431,19.2,45,NA,NA,NA,NA,NA,45,NA,NA
432,19.3,5,NA,NA,NA,NA,NA,5,NA,NA
433,19.4,17,NA,NA,NA,NA,NA,17,NA,NA
434,19.5,214,NA,NA,NA,NA,NA,214,NA,NA
435,20.1,233,NA,NA,NA,NA,NA,233,NA,NA
436,20.5,51,NA,NA,NA,NA,NA,51,NA,NA
437,21,13,NA,NA,NA,NA,NA,13,NA,NA
438,21.5,0,NA,NA,NA,NA,NA,0,0,NA
439,22.1,7,NA,NA,NA,NA,NA,7,NA,NA
440,23,1,NA,NA,NA,NA,NA,1,NA,NA
441,23.1,2,NA,NA,NA,NA,NA,2,NA,NA
442,23.2,337,NA,NA,NA,NA,NA,337,NA,NA
443,23.3,106,NA,NA,NA,NA,NA,106,NA,NA
444,23.4,98,NA,NA,NA,NA,NA,98,NA,NA
445,23.5,98,NA,NA,NA,NA,NA,98,NA,NA
446,0,26,NA,NA,NA,NA,NA,NA,26,NA
447,0.2,6,NA,NA,NA,NA,NA,NA,6,NA
448,0.3,5,NA,NA,NA,NA,NA,NA,5,NA
449,0.4,2,NA,NA,NA,NA,NA,NA,2,NA
450,0.5,1,NA,NA,NA,NA,NA,NA,1,NA
451,1,13,NA,NA,NA,NA,NA,NA,13,NA
452,1.1,300,NA,NA,NA,NA,NA,NA,300,NA
453,1.2,116,NA,NA,NA,NA,NA,NA,116,NA
454,1.3,355,NA,NA,NA,NA,NA,NA,355,NA
455,1.4,316,NA,NA,NA,NA,NA,NA,316,NA
456,1.5,105,NA,NA,NA,NA,NA,NA,105,NA
457,2,165,NA,NA,NA,NA,NA,NA,165,NA
458,2.2,2,NA,NA,NA,NA,NA,NA,2,NA
459,12.4,32,NA,NA,NA,NA,NA,NA,32,NA
460,12.5,2,NA,NA,NA,NA,NA,NA,2,NA
461,13.1,211,NA,NA,NA,NA,NA,NA,211,NA
462,13.2,237,NA,NA,NA,NA,NA,NA,237,NA
463,13.3,244,NA,NA,NA,NA,NA,NA,244,NA
464,13.4,250,NA,NA,NA,NA,NA,NA,250,NA
465,13.5,3,NA,NA,NA,NA,NA,NA,3,NA
466,16.1,51,NA,NA,NA,NA,NA,NA,51,NA
467,16.3,359,NA,NA,NA,NA,NA,NA,359,NA
468,16.4,288,NA,NA,NA,NA,NA,NA,288,NA
469,16.5,181,NA,NA,NA,NA,NA,NA,181,NA
470,17,0,NA,NA,NA,NA,NA,NA,0,NA
471,17.1,275,NA,NA,NA,NA,NA,NA,275,NA
472,17.2,163,NA,NA,NA,NA,NA,NA,163,NA
473,17.3,148,NA,NA,NA,NA,NA,NA,148,NA
474,17.4,436,NA,NA,NA,NA,NA,NA,436,NA
475,17.5,198,NA,NA,NA,NA,NA,NA,198,NA
476,18,4,NA,NA,NA,NA,NA,NA,4,NA
477,18.1,7,NA,NA,NA,NA,NA,NA,7,NA
478,18.2,2,NA,NA,NA,NA,NA,NA,2,NA
479,18.3,1,NA,NA,NA,NA,NA,NA,1,NA
480,18.4,39,NA,NA,NA,NA,NA,NA,39,NA
481,18.5,46,NA,NA,NA,NA,NA,NA,46,NA
482,19,43,NA,NA,NA,NA,NA,NA,43,NA
483,19.1,2,NA,NA,NA,NA,NA,NA,2,NA
484,19.2,5,NA,NA,NA,NA,NA,NA,5,NA
485,19.3,2,NA,NA,NA,NA,NA,NA,2,NA
486,19.5,165,NA,NA,NA,NA,NA,NA,165,NA
487,20.1,398,NA,NA,NA,NA,NA,NA,398,NA
488,20.2,3,NA,NA,NA,NA,NA,NA,3,NA
489,20.3,35,NA,NA,NA,NA,NA,NA,35,NA
490,20.4,1,NA,NA,NA,NA,NA,NA,1,NA
491,20.5,181,NA,NA,NA,NA,NA,NA,181,NA
492,21,356,NA,NA,NA,NA,NA,NA,356,NA
493,21.1,149,NA,NA,NA,NA,NA,NA,149,NA
494,21.2,333,NA,NA,NA,NA,NA,NA,333,NA
495,21.3,31,NA,NA,NA,NA,NA,NA,31,NA
496,21.4,27,NA,NA,NA,NA,NA,NA,27,NA
497,23.2,5,NA,NA,NA,NA,NA,NA,5,NA
498,23.3,22,NA,NA,NA,NA,NA,NA,22,NA
499,23.4,5,NA,NA,NA,NA,NA,NA,5,NA
500,0.1,78,NA,NA,NA,NA,NA,NA,NA,78
501,0.2,135,NA,NA,NA,NA,NA,NA,NA,135
502,0.3,143,NA,NA,NA,NA,NA,NA,NA,143
503,0.4,100,NA,NA,NA,NA,NA,NA,NA,100
504,0.5,17,NA,NA,NA,NA,NA,NA,NA,17
505,1.1,24,NA,NA,NA,NA,NA,NA,NA,24
506,1.2,3,NA,NA,NA,NA,NA,NA,NA,3
507,1.4,85,NA,NA,NA,NA,NA,NA,NA,85
508,1.5,218,NA,NA,NA,NA,NA,NA,NA,218
509,2,62,NA,NA,NA,NA,NA,NA,NA,62
510,2.1,122,NA,NA,NA,NA,NA,NA,NA,122
511,2.2,166,NA,NA,NA,NA,NA,NA,NA,166
512,2.3,13,NA,NA,NA,NA,NA,NA,NA,13
513,2.4,41,NA,NA,NA,NA,NA,NA,NA,41
514,2.5,15,NA,NA,NA,NA,NA,NA,NA,15
515,3,12,NA,NA,NA,NA,NA,NA,NA,12
516,4.5,56,NA,NA,NA,NA,NA,NA,NA,56
517,5,763,NA,NA,NA,NA,NA,NA,NA,763
518,8.4,1,NA,NA,NA,NA,NA,NA,NA,1
519,12.4,2,NA,NA,NA,NA,NA,NA,NA,2
,,,,,,,,,,
,,,,,,,,,,
,,0,,,,,,,,
