"Test","Animal","Treatment","Stage","Trial","Date","Time","Duration","Distance","Velocidad","TiempoSE","TiempoSO","TiempoNO","TiempoNE","Annulus.NE...entries","Annulus.NE...latency.to.first.entry","Annulus.NE...mean.distance.from","Annulus.NE...path.efficiency.to.entry","Annulus.NE...CIPL","Annulus.SW...entries","Annulus.SW...latency.to.first.entry","Annulus.SW...mean.distance.from","Annulus.SW...path.efficiency.to.entry","Annulus.SW...CIPL"
287,"1a","CUMS_Fluox","entrenamiento_rev_1",2,"2/5/2023","14:31",60,12.279,0.205,4.2,11.9,25.3,18.5,3,10.6,0.347,0.053,3.05,0,NA,0.42,NA,NA
288,"1a","CUMS_Fluox","entrenamiento_rev_1",3,"2/5/2023","14:33",10.7,2.111,0.197,3.1,3.8,2.5,1.3,0,NA,0.388,NA,NA,1,10.7,0.313,0.143,3.1
289,"1a","CUMS_Fluox","entrenamiento_rev_1",4,"2/5/2023","14:34",1.4,0.241,0.174,0,0.8,0.6,0,0,NA,0.505,NA,NA,1,1.4,0.144,0.847,0.05
290,"2a","CUMS_Fluox","entrenamiento_rev_1",1,"2/5/2023","14:47",1.1,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,NA,NA
291,"2a","CUMS_Fluox","entrenamiento_rev_1",2,"2/5/2023","14:47",0.9,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,NA,NA
292,"2a","CUMS_Fluox","entrenamiento_rev_1",3,"2/5/2023","14:47",0.9,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,NA,NA
293,"2a","CUMS_Fluox","entrenamiento_rev_1",4,"2/5/2023","14:47",1.1,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,NA,NA
294,"3a","CUMS_Fluox","entrenamiento_rev_1",1,"2/5/2023","14:48",58.4,13.388,0.229,9.9,2.8,14.7,31,4,18.3,0.271,0.104,4.68,1,58.4,0.557,0.024,32.28
295,"3a","CUMS_Fluox","entrenamiento_rev_1",2,"2/5/2023","14:50",21.6,4.865,0.226,5.8,1,3.7,11.1,0,NA,0.27,NA,NA,1,21.5,0.506,0.167,9.37
296,"3a","CUMS_Fluox","entrenamiento_rev_1",3,"2/5/2023","14:51",11.3,2.449,0.216,1.9,1.1,3.1,5.2,1,5.8,0.263,0.293,1.25,1,11.3,0.527,0.328,4.41
297,"3a","CUMS_Fluox","entrenamiento_rev_1",4,"2/5/2023","14:53",47.4,13.29,0.28,11,8.1,13.6,14.7,0,NA,0.406,NA,NA,1,47.4,0.505,0.037,23.51
298,"4a","CUMS_Fluox","entrenamiento_rev_1",1,"2/5/2023","14:55",23.6,5.497,0.232,4.4,4.8,4.7,9.7,0,NA,0.306,NA,NA,1,23.6,0.45,0.13,9.49
299,"4a","CUMS_Fluox","entrenamiento_rev_1",2,"2/5/2023","14:56",11,2.348,0.213,2,4.1,4.5,0.5,0,NA,0.515,NA,NA,1,11,0.305,0.305,2.1
300,"4a","CUMS_Fluox","entrenamiento_rev_1",3,"2/5/2023","14:57",0.1,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,NA,NA
301,"4a","CUMS_Fluox","entrenamiento_rev_1",4,"2/5/2023","14:57",7.8,1.659,0.212,1.4,2.8,1.4,2.2,1,2.4,0.411,0.903,0.16,1,7.8,0.385,0.4,1.91
330,"1-2","CUMS_Fluox","entrenamiento_rev_1",1,"2/5/2023","15:43",12,2.826,0.235,1.5,2.2,5.9,2.4,1,5.8,0.381,0.283,1.9,1,12,0.428,0.265,3.74
331,"1-2","CUMS_Fluox","entrenamiento_rev_1",2,"2/5/2023","15:44",5.4,1.062,0.196,0,1.2,1.6,2.6,1,1.6,0.296,0.806,0.09,1,5.4,0.448,0.721,0.88
332,"1-2","CUMS_Fluox","entrenamiento_rev_1",3,"2/5/2023","15:46",23.6,4.498,0.191,8,8.9,3.1,3.6,0,NA,0.437,NA,NA,1,23.6,0.334,0.099,7.33
333,"1-2","CUMS_Fluox","entrenamiento_rev_1",4,"2/5/2023","15:48",41.9,8.303,0.198,8.5,18.5,5.2,9.7,2,1.5,0.401,0.996,0.08,1,41.9,0.306,0.098,11.11
334,"2-2","CUMS_Fluox","entrenamiento_rev_1",1,"2/5/2023","15:49",60,10.57,0.176,3.4,2.8,31.5,22.3,1,6.3,0.321,0.357,0.86,0,NA,0.598,NA,NA
335,"2-2","CUMS_Fluox","entrenamiento_rev_1",2,"2/5/2023","15:53",60,9.069,0.151,5.4,8.6,11.8,34.3,4,14.7,0.268,0.154,2.27,0,NA,0.5,NA,NA
336,"2-2","CUMS_Fluox","entrenamiento_rev_1",3,"2/5/2023","15:56",11.7,2.025,0.173,5.7,1.4,0,4.6,1,3.8,0.31,0.886,0.42,1,11.7,0.455,0.187,4.89
337,"2-2","CUMS_Fluox","entrenamiento_rev_1",4,"2/5/2023","15:58",17.5,3.97,0.227,4.6,2.5,3.1,7.3,0,NA,0.335,NA,NA,1,17.4,0.508,0.187,7.16
338,"3-2","CUMS_Fluox","entrenamiento_rev_1",1,"2/5/2023","16:00",15.3,3.219,0.21,5.1,9,1.2,0,0,NA,0.593,NA,NA,1,15.3,0.25,0.229,2.48
339,"3-2","CUMS_Fluox","entrenamiento_rev_1",2,"2/5/2023","16:00",6.3,1.303,0.206,0.6,3.2,0,2.6,0,NA,0.458,NA,NA,1,6.3,0.353,0.566,0.86
340,"3-2","CUMS_Fluox","entrenamiento_rev_1",3,"2/5/2023","16:01",13.3,2.45,0.184,0,10.9,2.4,0,0,NA,0.663,NA,NA,1,13.3,0.146,0.099,1.76
341,"3-2","CUMS_Fluox","entrenamiento_rev_1",4,"2/5/2023","16:02",24.9,4.991,0.2,3.2,11.7,3.2,6.7,0,NA,0.464,NA,NA,1,24.9,0.382,0.162,7.82
342,"4-2","CUMS_Fluox","entrenamiento_rev_1",1,"2/5/2023","16:04",60,14.666,0.244,21.5,6.2,9.2,23.2,3,28.8,0.34,0.055,9.98,0,NA,0.523,NA,NA
343,"4-2","CUMS_Fluox","entrenamiento_rev_1",2,"2/5/2023","16:06",7.4,1.751,0.235,1.8,1.1,0,4.5,0,NA,0.313,NA,NA,1,7.4,0.487,0.424,2.41
344,"4-2","CUMS_Fluox","entrenamiento_rev_1",3,"2/5/2023","16:06",20.1,4.4,0.219,2.5,5.9,4.6,7.1,0,NA,0.396,NA,NA,1,20.1,0.416,0.098,7.91
345,"4-2","CUMS_Fluox","entrenamiento_rev_1",4,"2/5/2023","16:08",12.6,2.418,0.192,2.3,5.5,2.2,2.7,0,NA,0.412,NA,NA,1,12.6,0.331,0.352,2.25
362,"1b","CUMS_ctrl","entrenamiento_rev_2",1,"2/6/2023","15:53",18.2,4.261,0.234,3.6,2.9,5.1,6.6,0,NA,0.289,NA,NA,1,18.2,0.432,0.169,6.7
363,"1b","CUMS_ctrl","entrenamiento_rev_2",2,"2/6/2023","15:54",10,1.979,0.198,2,4.9,3.2,0,0,NA,0.563,NA,NA,1,10,0.237,0.189,1.99
364,"1b","CUMS_ctrl","entrenamiento_rev_2",3,"2/6/2023","15:54",16.1,3.221,0.2,4.1,7.3,2.1,2.7,0,NA,0.482,NA,NA,1,16.1,0.269,0.094,4.08
365,"1b","CUMS_ctrl","entrenamiento_rev_2",4,"2/6/2023","15:55",10.8,2,0.184,0.9,5.2,3.2,1.5,0,NA,0.494,NA,NA,1,10.8,0.252,0.197,2.29
366,"2b","CUMS_ctrl","entrenamiento_rev_2",1,"2/6/2023","15:56",60,13.35,0.223,16.7,0.7,7.9,34.8,5,1.7,0.26,0.796,0.16,0,NA,0.6,NA,NA
367,"2b","CUMS_ctrl","entrenamiento_rev_2",2,"2/6/2023","15:58",7.8,1.557,0.2,2.3,1,0,4.5,0,NA,0.309,NA,NA,1,7.8,0.502,0.476,2.5
368,"2b","CUMS_ctrl","entrenamiento_rev_2",3,"2/6/2023","15:59",12.5,2.006,0.161,4.1,5.1,1.8,1.5,0,NA,0.494,NA,NA,1,12.4,0.224,0.155,2.46
369,"2b","CUMS_ctrl","entrenamiento_rev_2",4,"2/6/2023","16:00",7.7,1.793,0.232,2.4,3.5,0.8,1,0,NA,0.461,NA,NA,1,7.7,0.272,0.167,1.89
370,"3b","CUMS_ctrl","entrenamiento_rev_2",1,"2/6/2023","16:01",3.8,0.88,0.232,1.3,0.8,0,1.7,0,NA,0.319,NA,NA,1,3.8,0.519,0.894,0.6
371,"3b","CUMS_ctrl","entrenamiento_rev_2",2,"2/6/2023","16:02",11.8,3.067,0.26,2.7,5,2.9,1.3,0,NA,0.537,NA,NA,1,11.8,0.338,0.276,2.57
372,"3b","CUMS_ctrl","entrenamiento_rev_2",3,"2/6/2023","16:03",2.7,0.738,0.271,2.2,0.5,0,0,0,NA,0.458,NA,NA,1,2.7,0.297,0.42,0.61
373,"3b","CUMS_ctrl","entrenamiento_rev_2",4,"2/6/2023","16:03",3.8,0.815,0.214,0,0.8,3,0,0,NA,0.364,NA,NA,1,3.8,0.317,0.383,0.96
374,"1-1","CUMS_ctrl","entrenamiento_rev_2",1,"2/6/2023","16:05",4.8,1.219,0.255,0.4,2.1,0,2.2,0,NA,0.394,NA,NA,1,4.8,0.386,0.648,0.59
375,"1-1","CUMS_ctrl","entrenamiento_rev_2",2,"2/6/2023","16:06",5.8,1.449,0.252,1.3,1.4,0,3,0,NA,0.332,NA,NA,1,5.7,0.534,0.595,1.55
376,"1-1","CUMS_ctrl","entrenamiento_rev_2",3,"2/6/2023","16:06",12.4,3.224,0.259,3.5,2.9,2.5,3.5,1,10.4,0.375,0.225,3.29,1,12.4,0.441,0.125,5.15
377,"1-1","CUMS_ctrl","entrenamiento_rev_2",4,"2/6/2023","16:07",14.9,3.648,0.245,1.8,4.6,3.3,5.2,0,NA,0.384,NA,NA,1,14.9,0.389,0.104,5.48
378,"2-1","CUMS_ctrl","entrenamiento_rev_2",1,"2/6/2023","16:09",6.8,1.24,0.182,0.3,4.3,0,2.2,0,NA,0.499,NA,NA,1,6.8,0.263,0.609,0.19
379,"2-1","CUMS_ctrl","entrenamiento_rev_2",2,"2/6/2023","16:10",11.7,1.974,0.169,0,5.4,2.8,3.4,0,NA,0.394,NA,NA,1,11.7,0.296,0.432,1.17
380,"2-1","CUMS_ctrl","entrenamiento_rev_2",3,"2/6/2023","16:13",33,5.238,0.159,1.7,20.5,6.5,4.3,0,NA,0.51,NA,NA,1,32.9,0.24,0.077,7.38
381,"2-1","CUMS_ctrl","entrenamiento_rev_2",4,"2/6/2023","16:14",2.3,0.358,0.156,0,0.7,1.6,0,0,NA,0.535,NA,NA,1,2.3,0.242,0.905,0.17
382,"3-1","CUMS_ctrl","entrenamiento_rev_2",1,"2/6/2023","16:15",4.3,1.061,0.248,0.1,1,0,3.1,1,2,0.243,0.786,0.1,1,4.3,0.525,0.71,1.07
383,"3-1","CUMS_ctrl","entrenamiento_rev_2",2,"2/6/2023","16:15",4.3,1.153,0.27,0.6,0.9,0,2.8,1,2,0.288,0.742,0.22,1,4.3,0.546,0.721,1
384,"3-1","CUMS_ctrl","entrenamiento_rev_2",3,"2/6/2023","16:16",4.5,0.998,0.222,3.7,0.8,0,0,0,NA,0.466,NA,NA,1,4.5,0.438,0.498,1.38
385,"3-1","CUMS_ctrl","entrenamiento_rev_2",4,"2/6/2023","16:16",24.5,5.412,0.22,3.1,9,5,7.5,0,NA,0.419,NA,NA,1,24.5,0.397,0.088,9.2
386,"4-1","CUMS_ctrl","entrenamiento_rev_2",1,"2/6/2023","16:18",6.3,0.701,0.111,3.1,3.2,0,0,0,NA,0.493,NA,NA,1,6.3,0.314,0.752,0.46
387,"4-1","CUMS_ctrl","entrenamiento_rev_2",2,"2/6/2023","16:19",7.7,1.738,0.225,0,3.8,0.9,3,1,2.6,0.423,0.69,0.29,1,7.7,0.414,0.457,1.74
388,"4-1","CUMS_ctrl","entrenamiento_rev_2",3,"2/6/2023","16:19",1.7,0.352,0.201,0.6,1.1,0,0,0,NA,0.695,NA,NA,1,1.7,0.209,0.9,0.09
389,"4-1","CUMS_ctrl","entrenamiento_rev_2",4,"2/6/2023","16:20",20.8,4.508,0.217,4.4,6.9,5.3,4.2,0,NA,0.383,NA,NA,1,20.8,0.339,0.105,6.49
346,"1a","CUMS_Fluox","entrenamiento_rev_2",1,"2/6/2023","15:31",60,13.801,0.23,1.1,3.9,23.9,31.1,7,1.4,0.269,0.953,0.1,0,NA,0.57,NA,NA
347,"1a","CUMS_Fluox","entrenamiento_rev_2",2,"2/6/2023","15:33",9.9,2.006,0.203,0.7,4.3,4.9,0,0,NA,0.423,NA,NA,1,9.9,0.276,0.386,1.2
348,"1a","CUMS_Fluox","entrenamiento_rev_2",3,"2/6/2023","15:34",19,3.579,0.188,1.6,7,4.9,5.5,1,5.6,0.42,0.459,0.82,1,19,0.377,0.087,6.88
349,"1a","CUMS_Fluox","entrenamiento_rev_2",4,"2/6/2023","15:35",15.5,2.64,0.17,0.9,3.3,7.9,3.4,1,4.6,0.397,0.627,0.9,1,15.5,0.317,0.137,4.52
350,"2a","CUMS_Fluox","entrenamiento_rev_2",1,"2/6/2023","15:37",5.3,1.104,0.207,2.1,3.2,0,0,0,NA,0.489,NA,NA,1,5.3,0.279,0.568,0.44
351,"2a","CUMS_Fluox","entrenamiento_rev_2",2,"2/6/2023","15:37",5.6,1.3,0.233,2,1,0,2.6,0,NA,0.334,NA,NA,1,5.6,0.515,0.656,1.27
352,"2a","CUMS_Fluox","entrenamiento_rev_2",3,"2/6/2023","15:38",11.7,2.504,0.214,0.9,5.2,2.3,3.3,1,8.7,0.444,0.393,3,1,11.7,0.321,0.076,3.65
353,"2a","CUMS_Fluox","entrenamiento_rev_2",4,"2/6/2023","15:39",11.4,2.469,0.217,0,7.4,4,0,0,NA,0.593,NA,NA,1,11.4,0.209,0.118,2.17
354,"3a","CUMS_Fluox","entrenamiento_rev_2",1,"2/6/2023","15:41",11.2,2.855,0.254,3.1,5.2,0.7,2.3,0,NA,0.459,NA,NA,1,11.2,0.308,0.245,2.46
355,"3a","CUMS_Fluox","entrenamiento_rev_2",2,"2/6/2023","15:42",12.8,3.518,0.275,1.7,3.8,4.3,3,0,NA,0.46,NA,NA,1,12.8,0.402,0.212,4.07
356,"3a","CUMS_Fluox","entrenamiento_rev_2",3,"2/6/2023","15:43",2.8,0.699,0.252,1.9,0.9,0,0,0,NA,0.452,NA,NA,1,2.8,0.282,0.526,0.48
357,"3a","CUMS_Fluox","entrenamiento_rev_2",4,"2/6/2023","15:44",9.1,2.097,0.229,1.6,1.5,2.8,3.3,1,3.7,0.388,0.69,0.66,1,9.1,0.487,0.188,4.08
358,"4a","CUMS_Fluox","entrenamiento_rev_2",1,"2/6/2023","15:46",13.7,3.097,0.227,1,4,3.5,5.2,0,NA,0.326,NA,NA,1,13.7,0.407,0.241,4.26
359,"4a","CUMS_Fluox","entrenamiento_rev_2",2,"2/6/2023","15:47",7.3,1.407,0.193,0,3.2,0.4,3.6,1,2.6,0.404,0.627,0.25,1,7.3,0.406,0.531,1.46
360,"4a","CUMS_Fluox","entrenamiento_rev_2",3,"2/6/2023","15:48",1.3,0.162,0.123,0,1.3,0,0,0,NA,0.559,NA,NA,1,1.3,0.053,0.477,0.04
361,"4a","CUMS_Fluox","entrenamiento_rev_2",4,"2/6/2023","15:49",13.3,2.749,0.207,2.3,3.5,5.6,1.9,0,NA,0.399,NA,NA,1,13.2,0.321,0.118,3.97
390,"1-2","CUMS_Fluox","entrenamiento_rev_2",1,"2/6/2023","16:23",29.3,6.427,0.219,6.6,9.3,7.5,5.9,1,11.4,0.386,0.123,3.77,1,29.3,0.36,0.106,9.43
391,"1-2","CUMS_Fluox","entrenamiento_rev_2",2,"2/6/2023","16:24",6.6,1.27,0.193,0.7,2.2,0,3.8,1,2.5,0.355,0.797,0.24,1,6.6,0.482,0.685,1.2
392,"1-2","CUMS_Fluox","entrenamiento_rev_2",3,"2/6/2023","16:25",2.4,0.444,0.184,0.8,1.6,0,0,0,NA,0.647,NA,NA,1,2.4,0.196,0.783,0.14
393,"1-2","CUMS_Fluox","entrenamiento_rev_2",4,"2/6/2023","16:25",12.6,2.81,0.223,0.7,3,4.4,4.6,0,NA,0.397,NA,NA,1,12.6,0.402,0.13,4.74
394,"2-2","CUMS_Fluox","entrenamiento_rev_2",1,"2/6/2023","16:26",44.8,8.198,0.183,6.8,7.4,10.7,19.9,3,2.3,0.293,0.725,0.13,1,44.8,0.439,0.08,18.45
395,"2-2","CUMS_Fluox","entrenamiento_rev_2",2,"2/6/2023","16:28",14.7,2.91,0.197,0,3.1,4.4,7.2,0,NA,0.306,NA,NA,1,14.7,0.471,0.285,5.15
396,"2-2","CUMS_Fluox","entrenamiento_rev_2",3,"2/6/2023","16:29",11.8,2.117,0.179,2.8,4.1,1.9,3,0,NA,0.408,NA,NA,1,11.8,0.357,0.108,4.06
397,"2-2","CUMS_Fluox","entrenamiento_rev_2",4,"2/6/2023","16:30",19.2,3.542,0.184,4.3,4.1,5.9,4.9,1,6.6,0.413,0.453,2.61,1,19.2,0.372,0.079,6.91
398,"3-2","CUMS_Fluox","entrenamiento_rev_2",1,"2/6/2023","16:32",11.1,2.216,0.2,3.1,4.3,0,3.7,0,NA,0.458,NA,NA,1,11.1,0.366,0.358,2.45
399,"3-2","CUMS_Fluox","entrenamiento_rev_2",2,"2/6/2023","16:33",4.1,0.832,0.205,0,1.1,2.9,0,0,NA,0.429,NA,NA,1,4,0.463,0.898,0.41
400,"3-2","CUMS_Fluox","entrenamiento_rev_2",3,"2/6/2023","16:33",3.4,0.792,0.233,2.7,0.7,0,0,0,NA,0.521,NA,NA,1,3.4,0.348,0.489,0.84
401,"3-2","CUMS_Fluox","entrenamiento_rev_2",4,"2/6/2023","16:34",6.7,1.079,0.16,0,5.5,1.2,0,0,NA,0.701,NA,NA,1,6.7,0.16,0.353,0.59
402,"4-2","CUMS_Fluox","entrenamiento_rev_2",1,"2/6/2023","16:35",5.7,1.43,0.249,1.8,2.3,0,1.6,0,NA,0.436,NA,NA,1,5.7,0.35,0.484,1.02
403,"4-2","CUMS_Fluox","entrenamiento_rev_2",2,"2/6/2023","16:36",3.4,1.137,0.331,0,0.7,1.4,1.3,0,NA,0.347,NA,NA,1,3.4,0.52,0.733,0.59
404,"4-2","CUMS_Fluox","entrenamiento_rev_2",3,"2/6/2023","16:36",10.4,2.283,0.22,2.2,2.9,4.2,1.2,0,NA,0.432,NA,NA,1,10.4,0.328,0.185,2.98
405,"4-2","CUMS_Fluox","entrenamiento_rev_2",4,"2/6/2023","16:37",1.7,0.284,0.171,0,1.7,0,0,0,NA,0.664,NA,NA,1,1.6,0.158,0.921,0.03
410,"1b","CUMS_ctrl","prueba_rev",1,"2/7/2023","14:00",60,14.925,0.249,9.8,28.3,10.5,11.4,1,14.8,0.481,0.237,7.44,9,1,0.356,0.999,0.02
411,"2b","CUMS_ctrl","prueba_rev",1,"2/7/2023","14:13",60,13.398,0.223,8.1,33.4,9.4,9.1,2,21.4,0.497,0.163,10.45,8,1.2,0.264,0.849,0.06
412,"3b","CUMS_ctrl","prueba_rev",1,"2/7/2023","14:25",60,14.74,0.246,24.1,6,5.2,24.7,6,2.8,0.312,0.928,0.26,0,NA,0.464,NA,NA
413,"1-1","CUMS_ctrl","prueba_rev",1,"2/7/2023","14:52",60,13.244,0.221,15.4,33.3,2.2,9.1,1,44.4,0.497,0.066,22.64,8,1.9,0.291,0.669,0.12
414,"2-1","CUMS_ctrl","prueba_rev",1,"2/7/2023","15:05",60,11.795,0.197,12.5,33.9,7.1,6.4,1,14,0.533,0.317,6.5,8,17.5,0.238,0.083,4.55
415,"3-1","CUMS_ctrl","prueba_rev",1,"2/7/2023","15:18",60,13.871,0.231,20.3,26.9,3.2,9.7,1,19,0.455,0.175,7.27,8,5.3,0.317,0.249,1.51
416,"4-1","CUMS_ctrl","prueba_rev",1,"2/7/2023","15:28",60,13.673,0.228,5.9,33,10.8,10.3,1,9.9,0.485,0.295,3.56,9,6.2,0.254,0.09,1.17
406,"1a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:12",60,12.01,0.2,14.3,11.6,26.4,7.7,2,37.3,0.427,0.095,15.04,1,10.2,0.392,0.13,2.31
407,"2a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:22",60,12.57,0.21,23.5,17.4,5,14.1,0,NA,0.392,NA,NA,3,14.4,0.39,0.073,5.65
408,"3a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:33",60,11.126,0.185,7.4,43.6,0.6,8.5,0,NA,0.566,NA,NA,10,1.6,0.222,0.949,0.1
409,"4a","CUMS_Fluox","prueba_rev",1,"2/7/2023","13:48",60,14.204,0.237,16.8,22.2,5.3,15.7,2,26.1,0.409,0.127,11.44,2,22.7,0.369,0.042,5.18
417,"1-2","CUMS_Fluox","prueba_rev",1,"2/7/2023","15:39",60,11.831,0.197,9.8,33.9,10.3,6.1,0,NA,0.507,NA,NA,5,1.8,0.264,0.799,0.12
418,"2-2","CUMS_Fluox","prueba_rev",1,"2/7/2023","15:52",60,11.545,0.192,14.7,32.5,6.7,6.1,0,NA,0.488,NA,NA,3,3.1,0.257,0.549,0.52
419,"3-2","CUMS_Fluox","prueba_rev",1,"2/7/2023","16:00",60,12.489,0.208,3.5,31.3,15.6,9.6,2,24.5,0.54,0.163,14.36,5,5.9,0.295,0.201,1.02
420,"4-2","CUMS_Fluox","prueba_rev",1,"2/7/2023","16:07",60,14.497,0.242,13.5,30.7,9.2,6.6,0,NA,0.51,NA,NA,8,9.7,0.299,0.156,2.73
