Test,Animal,Treatment,Stage,Trial,Date,Time,Duration,Distance,Velocidad,TiempoSE,TiempoSO,TiempoNO,TiempoNE
5,1b,CUMS_ctrl,pre-entrenamiento 1 salida,1,12/16/2022,15:13:00,27.1,6.275,0.232,5.7,2.7,11.4,7.4
6,2b,CUMS_ctrl,pre-entrenamiento 1 salida,1,12/16/2022,15:15:00,30.3,7.636,0.252,5.3,5,9.2,10.8
7,3b,CUMS_ctrl,pre-entrenamiento 1 salida,1,12/16/2022,15:18:00,13.2,3.275,0.247,2.1,0.1,6.3,4.8
8,1-1,CUMS_ctrl,pre-entrenamiento 1 salida,1,12/16/2022,15:20:00,60,4.076,0.068,34.1,6.3,13.2,6.4
9,2-1,CUMS_ctrl,pre-entrenamiento 1 salida,1,12/16/2022,15:21:00,11.5,2.246,0.196,3.6,0,0,7.8
10,3-1,CUMS_ctrl,pre-entrenamiento 1 salida,1,12/16/2022,15:25:00,55.3,10.104,0.183,9.4,6.6,23.1,16.2
11,4-1,CUMS_ctrl,pre-entrenamiento 1 salida,1,12/16/2022,15:27:00,45.3,10.116,0.223,1.5,9.6,18.7,15.5
1,1a,CUMS_Fluox,pre-entrenamiento 1 salida,1,12/16/2022,15:04:00,60,12.342,0.206,20.5,4.5,8.8,26.2
2,2a,CUMS_Fluox,pre-entrenamiento 1 salida,1,12/16/2022,15:06:00,9.4,1.556,0.165,0,0,2.5,6.9
3,3a,CUMS_Fluox,pre-entrenamiento 1 salida,1,12/16/2022,15:07:00,46.3,11.319,0.244,11.4,13.4,9.9,11.5
4,4a,CUMS_Fluox,pre-entrenamiento 1 salida,1,12/16/2022,15:09:00,9,1.738,0.192,0.8,0.9,1.8,5.6
12,1-2,CUMS_Fluox,pre-entrenamiento 1 salida,1,12/16/2022,15:31:00,47.9,8.039,0.168,3.4,0,8.9,35.7
13,2-2,CUMS_Fluox,pre-entrenamiento 1 salida,1,12/16/2022,15:32:00,60,11.701,0.195,12.9,6.9,11.5,28.7
14,3-2,CUMS_Fluox,pre-entrenamiento 1 salida,1,12/16/2022,15:35:00,9.2,1.485,0.162,0,0,3.9,5.2
15,4-2,CUMS_Fluox,pre-entrenamiento 1 salida,1,12/16/2022,15:36:00,35.4,7.124,0.201,4.7,10,8.1,12.6
32,1b,CUMS_ctrl,entrenamiento_1,1,12/19/2022,15:15:00,60,12.676,0.211,28.5,20.6,7.7,3.2
33,1b,CUMS_ctrl,entrenamiento_1,2,12/19/2022,15:17:00,31,5.304,0.171,11.8,0,0,19.2
34,1b,CUMS_ctrl,entrenamiento_1,3,12/19/2022,15:18:00,14.4,2.089,0.145,3.8,9.2,0,1.4
35,1b,CUMS_ctrl,entrenamiento_1,4,12/19/2022,15:19:00,45.1,7.996,0.177,4.9,9.1,8.7,22.5
36,2b,CUMS_ctrl,entrenamiento_1,1,12/19/2022,15:22:00,46.6,9.624,0.206,8.4,21.2,12.8,4.2
37,2b,CUMS_ctrl,entrenamiento_1,2,12/19/2022,15:23:00,21.7,4.639,0.214,4.3,3.7,5,8.7
38,2b,CUMS_ctrl,entrenamiento_1,3,12/19/2022,15:24:00,10.2,1.721,0.169,2.9,3.4,3.1,0.8
39,2b,CUMS_ctrl,entrenamiento_1,4,12/19/2022,15:25:00,13,1.938,0.15,3.2,0,2.5,7.3
40,3b,CUMS_ctrl,entrenamiento_1,1,12/19/2022,15:27:00,60,14.258,0.238,15.5,20.6,15.4,8.4
41,3b,CUMS_ctrl,entrenamiento_1,2,12/19/2022,15:29:00,5.3,1.082,0.206,2,0,0,3.2
42,3b,CUMS_ctrl,entrenamiento_1,3,12/19/2022,15:30:00,3.4,0.37,0.109,0,0,0,3.4
43,3b,CUMS_ctrl,entrenamiento_1,4,12/19/2022,15:31:00,21.8,4.255,0.195,12.1,0,4,5.7
44,1-1,CUMS_ctrl,entrenamiento_1,1,12/19/2022,15:34:00,60,13.17,0.22,17.5,25.1,8.5,8.9
45,1-1,CUMS_ctrl,entrenamiento_1,2,12/19/2022,15:36:00,17.1,3.484,0.204,5.9,2.4,4.1,4.7
46,1-1,CUMS_ctrl,entrenamiento_1,3,12/19/2022,15:37:00,60,12.524,0.209,5.1,10.5,15.6,28.8
47,1-1,CUMS_ctrl,entrenamiento_1,4,12/19/2022,15:39:00,7.2,0.753,0.104,0,0,5.5,1.8
48,2-1,CUMS_ctrl,entrenamiento_1,1,12/19/2022,15:43:00,60,11.863,0.198,4.6,27.9,15.4,12.1
49,2-1,CUMS_ctrl,entrenamiento_1,2,12/19/2022,15:44:00,16.1,3.253,0.202,1.9,6.6,3.8,3.8
50,2-1,CUMS_ctrl,entrenamiento_1,3,12/19/2022,15:45:00,59.9,12.193,0.204,11,18.2,12.9,17.9
51,2-1,CUMS_ctrl,entrenamiento_1,4,12/19/2022,15:47:00,5.7,0.787,0.137,0,0,0.5,5.2
52,3-1,CUMS_ctrl,entrenamiento_1,1,12/19/2022,15:49:00,60,13.367,0.223,14.7,20.1,17,8.2
53,3-1,CUMS_ctrl,entrenamiento_1,2,12/19/2022,15:50:00,48.3,8.596,0.178,14,2.1,12.7,19.5
54,3-1,CUMS_ctrl,entrenamiento_1,3,12/19/2022,15:52:00,47.2,7.832,0.166,7.9,8.6,0,30.7
55,3-1,CUMS_ctrl,entrenamiento_1,4,12/19/2022,15:53:00,10.8,1.574,0.145,1.4,0,0.6,8.8
56,4-1,CUMS_ctrl,entrenamiento_1,1,12/19/2022,15:55:00,60,12.954,0.216,20.3,12.5,12,15.1
57,4-1,CUMS_ctrl,entrenamiento_1,2,12/19/2022,15:57:00,13.5,2.701,0.199,1.5,0,2,10
58,4-1,CUMS_ctrl,entrenamiento_1,3,12/19/2022,15:58:00,16.4,3.662,0.224,5.2,1.4,2.4,7.4
59,4-1,CUMS_ctrl,entrenamiento_1,4,12/19/2022,15:59:00,2.3,0.313,0.136,0,0,0,2.3
16,1a,CUMS_Fluox,entrenamiento_1,1,12/19/2022,14:49:00,37.9,7.813,0.206,3.9,17,14.6,2.5
17,1a,CUMS_Fluox,entrenamiento_1,2,12/19/2022,14:50:00,18.1,3.861,0.213,7.5,2.1,3.6,5
18,1a,CUMS_Fluox,entrenamiento_1,3,12/19/2022,14:51:00,32.3,6.674,0.207,11.4,11.5,0.7,8.7
19,1a,CUMS_Fluox,entrenamiento_1,4,12/19/2022,14:52:00,60,11.517,0.192,10.3,26.6,12.9,10.2
20,2a,CUMS_Fluox,entrenamiento_1,1,12/19/2022,14:56:00,60,12.893,0.215,13.7,33.3,12.1,0.9
21,2a,CUMS_Fluox,entrenamiento_1,2,12/19/2022,14:58:00,22.4,3.831,0.171,10.5,0,0,11.8
22,2a,CUMS_Fluox,entrenamiento_1,3,12/19/2022,14:59:00,18.1,3.114,0.172,8.1,6.1,0,3.8
23,2a,CUMS_Fluox,entrenamiento_1,4,12/19/2022,15:01:00,60,15.475,0.258,10.2,13.8,22.1,13.8
24,3a,CUMS_Fluox,entrenamiento_1,1,12/19/2022,15:03:00,32.5,7.394,0.227,10.6,7.1,2.9,12
25,3a,CUMS_Fluox,entrenamiento_1,2,12/19/2022,15:04:00,39.9,8.315,0.208,11.1,7.3,7.1,14.4
26,3a,CUMS_Fluox,entrenamiento_1,3,12/19/2022,15:05:00,12.5,2.412,0.193,1.7,3.2,6.6,1
27,3a,CUMS_Fluox,entrenamiento_1,4,12/19/2022,15:06:00,10,1.646,0.164,4.4,0,0.9,4.8
28,4a,CUMS_Fluox,entrenamiento_1,1,12/19/2022,15:07:00,60,12.244,0.204,20.6,28.1,7.7,3.6
29,4a,CUMS_Fluox,entrenamiento_1,2,12/19/2022,15:10:00,6.5,0.939,0.145,1.6,0,0,4.8
30,4a,CUMS_Fluox,entrenamiento_1,3,12/19/2022,15:11:00,44.3,8.541,0.193,12.9,5.5,12.3,13.6
31,4a,CUMS_Fluox,entrenamiento_1,4,12/19/2022,15:12:00,4.4,0.537,0.121,0,0,0,4.4
60,1-2,CUMS_Fluox,entrenamiento_1,1,12/19/2022,16:02:00,60,13.927,0.232,18.6,20.7,10.2,10.4
61,1-2,CUMS_Fluox,entrenamiento_1,2,12/19/2022,16:03:00,39.9,8.749,0.219,11,6.1,8.9,14
62,1-2,CUMS_Fluox,entrenamiento_1,3,12/19/2022,16:04:00,6,1.501,0.248,1.5,0,0,4.5
63,1-2,CUMS_Fluox,entrenamiento_1,4,12/19/2022,16:05:00,14.6,2.775,0.19,4.4,0.4,4.9,4.9
64,2-2,CUMS_Fluox,entrenamiento_1,1,12/19/2022,16:07:00,7,1.307,0.187,0,2.9,2.2,1.9
65,2-2,CUMS_Fluox,entrenamiento_1,2,12/19/2022,16:08:00,3.8,0.721,0.19,1.9,0,0,1.9
66,2-2,CUMS_Fluox,entrenamiento_1,3,12/19/2022,16:08:00,60,14.841,0.247,15.5,9.4,16.6,18.4
67,2-2,CUMS_Fluox,entrenamiento_1,4,12/19/2022,16:10:00,16.7,3.237,0.193,2.6,2.1,1,11
68,3-2,CUMS_Fluox,entrenamiento_1,1,12/19/2022,16:11:00,9.6,1.947,0.204,3.9,4,1,0.7
69,3-2,CUMS_Fluox,entrenamiento_1,2,12/19/2022,16:12:00,6.3,1.458,0.23,2.4,0,0,4
70,3-2,CUMS_Fluox,entrenamiento_1,3,12/19/2022,16:12:00,51.8,11.145,0.215,7.2,9.4,11.4,23.9
71,3-2,CUMS_Fluox,entrenamiento_1,4,12/19/2022,16:13:00,5.5,0.733,0.133,0,0,1.7,3.8
72,4-2,CUMS_Fluox,entrenamiento_1,1,12/19/2022,16:15:00,60,13.928,0.232,9.4,19.8,23,7.7
73,4-2,CUMS_Fluox,entrenamiento_1,2,12/19/2022,16:17:00,54,11.318,0.21,8.1,10.7,12,23.2
74,4-2,CUMS_Fluox,entrenamiento_1,3,12/19/2022,16:18:00,53.4,9.945,0.186,9.4,4.2,13.3,26.5
75,4-2,CUMS_Fluox,entrenamiento_1,4,12/19/2022,16:20:00,40.3,6.464,0.16,2.8,0,15.4,22.1
92,1b,CUMS_ctrl,entrenamiento_2,1,12/20/2022,15:02:00,4.5,0.776,0.173,1.5,0,0,2.9
93,1b,CUMS_ctrl,entrenamiento_2,2,12/20/2022,15:02:00,22.7,5.077,0.224,2.9,5.9,4.9,9
94,1b,CUMS_ctrl,entrenamiento_2,3,12/20/2022,15:03:00,2,0.279,0.136,0,0,0.5,1.5
95,1b,CUMS_ctrl,entrenamiento_2,4,12/20/2022,15:04:00,25.8,5.866,0.227,8.5,4.8,6.4,6.1
96,2b,CUMS_ctrl,entrenamiento_2,1,12/20/2022,15:07:00,3.7,0.689,0.186,1,0,0,2.7
97,2b,CUMS_ctrl,entrenamiento_2,2,12/20/2022,15:07:00,8.3,2.03,0.245,4.2,2,1.2,1
98,2b,CUMS_ctrl,entrenamiento_2,3,12/20/2022,15:08:00,1.9,0.368,0.196,0,0,0,1.9
99,2b,CUMS_ctrl,entrenamiento_2,4,12/20/2022,15:08:00,16.9,3.932,0.233,1.2,4.1,3.2,8.4
100,3b,CUMS_ctrl,entrenamiento_2,1,12/20/2022,15:09:00,37,10.119,0.273,9.5,11,4.7,11.8
101,3b,CUMS_ctrl,entrenamiento_2,2,12/20/2022,15:10:00,8.1,2.217,0.275,2.9,0,2.5,2.6
102,3b,CUMS_ctrl,entrenamiento_2,3,12/20/2022,15:12:00,3.3,0.738,0.226,0.9,0,0.2,2.2
103,3b,CUMS_ctrl,entrenamiento_2,4,12/20/2022,15:12:00,23.1,5.441,0.235,2.6,5.4,2.1,13.1
104,1-1,CUMS_ctrl,entrenamiento_2,1,12/20/2022,15:15:00,33.1,7.755,0.234,9.5,6.2,4.1,13.4
105,1-1,CUMS_ctrl,entrenamiento_2,2,12/20/2022,15:16:00,6.2,1.31,0.21,0,1.4,1.6,3.3
106,1-1,CUMS_ctrl,entrenamiento_2,3,12/20/2022,15:17:00,21.8,3.964,0.182,1.6,3.6,4.3,12.3
107,1-1,CUMS_ctrl,entrenamiento_2,4,12/20/2022,15:18:00,12.5,2.163,0.174,2,5.4,0.2,4.9
108,2-1,CUMS_ctrl,entrenamiento_2,1,12/20/2022,15:21:00,16.1,3.497,0.217,3,3.2,2.7,7.2
109,2-1,CUMS_ctrl,entrenamiento_2,2,12/20/2022,15:22:00,3.3,0.735,0.222,0,0,2.5,0.8
110,2-1,CUMS_ctrl,entrenamiento_2,3,12/20/2022,15:22:00,60,12.731,0.212,7.6,9.5,20.9,22
111,2-1,CUMS_ctrl,entrenamiento_2,4,12/20/2022,15:25:00,8.8,1.331,0.151,2.4,4.4,0,2
112,3-1,CUMS_ctrl,entrenamiento_2,1,12/20/2022,15:27:00,11.5,2.701,0.235,2,0,0,9.4
113,3-1,CUMS_ctrl,entrenamiento_2,2,12/20/2022,15:27:00,3.4,0.866,0.255,0,0,2.5,0.9
114,3-1,CUMS_ctrl,entrenamiento_2,3,12/20/2022,15:28:00,16,3.938,0.247,3,3.3,6.4,3.3
115,3-1,CUMS_ctrl,entrenamiento_2,4,12/20/2022,15:28:00,5.3,1.277,0.239,0,1.8,0.7,2.9
116,4-1,CUMS_ctrl,entrenamiento_2,1,12/20/2022,15:30:00,3.6,0.754,0.209,2.8,0,0,0.8
117,4-1,CUMS_ctrl,entrenamiento_2,2,12/20/2022,15:30:00,52.3,13.287,0.254,16.6,12.6,6.4,16.6
118,4-1,CUMS_ctrl,entrenamiento_2,3,12/20/2022,15:31:00,14.4,3.319,0.23,5.5,2.5,2.2,4.2
119,4-1,CUMS_ctrl,entrenamiento_2,4,12/20/2022,15:32:00,2.9,0.591,0.2,1.8,0,0,1.1
76,1a,CUMS_Fluox,entrenamiento_2,1,12/20/2022,14:42:00,21.3,4.89,0.23,5.4,3.1,3.1,9.7
77,1a,CUMS_Fluox,entrenamiento_2,2,12/20/2022,14:43:00,8.2,1.98,0.24,0,3,4,1.2
78,1a,CUMS_Fluox,entrenamiento_2,3,12/20/2022,14:44:00,1.6,0.229,0.146,0,0,0,1.6
79,1a,CUMS_Fluox,entrenamiento_2,4,12/20/2022,14:44:00,26.7,6.08,0.227,9.6,5.9,0,11.3
80,2a,CUMS_Fluox,entrenamiento_2,1,12/20/2022,14:48:00,60,15.564,0.259,12.5,12.2,15.6,19.7
81,2a,CUMS_Fluox,entrenamiento_2,2,12/20/2022,14:50:00,30.6,6.114,0.2,5.6,5.1,8.5,11.5
82,2a,CUMS_Fluox,entrenamiento_2,3,12/20/2022,14:51:00,11.2,2.137,0.19,3.1,3.2,2.1,2.9
83,2a,CUMS_Fluox,entrenamiento_2,4,12/20/2022,14:51:00,16.3,3.027,0.185,3.3,1.3,3,8.8
84,3a,CUMS_Fluox,entrenamiento_2,1,12/20/2022,14:53:00,3,0.333,0.11,0,0,0,3
85,3a,CUMS_Fluox,entrenamiento_2,2,12/20/2022,14:53:00,5.5,1.366,0.247,0,1.8,2.5,1.2
86,3a,CUMS_Fluox,entrenamiento_2,3,12/20/2022,14:54:00,3.4,0.818,0.241,1.4,0,1,1
87,3a,CUMS_Fluox,entrenamiento_2,4,12/20/2022,14:54:00,6.4,1.525,0.239,0,2.9,2,1.6
88,4a,CUMS_Fluox,entrenamiento_2,1,12/20/2022,14:56:00,1.8,0.264,0.15,0,0,0,1.8
89,4a,CUMS_Fluox,entrenamiento_2,2,12/20/2022,14:57:00,60,16.257,0.271,12.3,16.5,14.7,16.5
90,4a,CUMS_Fluox,entrenamiento_2,3,12/20/2022,14:58:00,20.3,4.116,0.203,0,4.5,7.1,8.7
91,4a,CUMS_Fluox,entrenamiento_2,4,12/20/2022,14:59:00,3.8,0.789,0.206,3,0,0,0.8
120,1-2,CUMS_Fluox,entrenamiento_2,1,12/20/2022,15:36:00,6,0.643,0.107,3.7,0,0,2.3
121,1-2,CUMS_Fluox,entrenamiento_2,2,12/20/2022,15:36:00,8.4,1.254,0.148,0,2.5,1.8,4.2
122,1-2,CUMS_Fluox,entrenamiento_2,3,12/20/2022,15:37:00,7.6,1.827,0.242,3.4,0.7,2.3,1.2
123,1-2,CUMS_Fluox,entrenamiento_2,4,12/20/2022,15:37:00,5.4,0.963,0.178,2,1.7,0,1.7
124,2-2,CUMS_Fluox,entrenamiento_2,1,12/20/2022,15:40:00,4.5,0.924,0.205,0,0,0,4.5
125,2-2,CUMS_Fluox,entrenamiento_2,2,12/20/2022,15:40:00,4.2,1.048,0.252,0.3,3.1,0,0.8
126,2-2,CUMS_Fluox,entrenamiento_2,3,12/20/2022,15:41:00,4.7,0.975,0.206,0,0,3.8,0.9
127,2-2,CUMS_Fluox,entrenamiento_2,4,12/20/2022,15:41:00,2.4,0.627,0.258,1.7,0,0,0.7
128,3-2,CUMS_Fluox,entrenamiento_2,1,12/20/2022,15:43:00,43.6,9.224,0.211,15.6,9.1,3.7,15.2
129,3-2,CUMS_Fluox,entrenamiento_2,2,12/20/2022,15:44:00,36.8,6.963,0.189,10.4,6,9.1,11.3
130,3-2,CUMS_Fluox,entrenamiento_2,3,12/20/2022,15:45:00,6.2,0.735,0.118,0,0,2,4.2
131,3-2,CUMS_Fluox,entrenamiento_2,4,12/20/2022,15:45:00,13.1,2.596,0.198,0,5.5,0.2,7.4
132,4-2,CUMS_Fluox,entrenamiento_2,1,12/20/2022,15:46:00,8.5,1.99,0.235,1.5,0,1.4,5.5
133,4-2,CUMS_Fluox,entrenamiento_2,2,12/20/2022,15:47:00,8.3,1.893,0.229,0,5.2,1.4,1.7
134,4-2,CUMS_Fluox,entrenamiento_2,3,12/20/2022,15:47:00,25.1,5.698,0.227,6.5,1.5,7.7,9.5
135,4-2,CUMS_Fluox,entrenamiento_2,4,12/20/2022,15:48:00,6.5,1.28,0.198,4.3,0,0,2.2
152,1b,CUMS_ctrl,entrenamiento_3,1,12/21/2022,14:16:00,8.9,1.864,0.208,0,3.6,4.5,0.9
153,1b,CUMS_ctrl,entrenamiento_3,2,12/21/2022,14:16:00,3.8,0.899,0.234,1.6,1.5,0,0.7
